smiles,dE0
[C:1]([C:2]#[C:3][C:4]([N:5]1[C:6]([H:13])([H:14])[C:7]1([H:15])[H:16])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]1([H:15])[C:3][C:4]([H:11])([H:12])[N:5]2[C:6]([H:13])([H:14])[C@:7]12[H:16])([H:8])([H:9])[H:10],73.35673
[O:1]([c:2]1[c:3]([H:8])[n:4]([H:9])[c:5]([H:10])[n:6]1)[H:7]>>[O:1]([C-:2](/[C:3](=[N:4]/[H:9])[H:8])[N+:6]#[C:5][H:10])[H:7],69.1205
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])=[C:5]([H:10])[C:6]1([H:11])[H:12]>>[O:1]=[C:2]1[C:3]([H:7])([H:8])[C@:4]1([C:5](=[C:6]([H:11])[H:12])[H:10])[H:9],69.87127
[C:1]([C@@:2]1([H:9])[C:3]([H:10])([H:11])[N:4]1[C:5]([H:12])([H:13])[H:14])([H:6])([H:7])[H:8]>>[C:1]([H:6])([H:7])([H:8])[H:10].[C:2]1([H:9])=[C:3]([H:11])[N:4]1[C:5]([H:12])([H:13])[H:14],121.35914
[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([N:6]=[C:5]=[C:4]([H:14])[H:15])([H:11])[H:13])([H:10])[H:12])([H:7])([H:8])[H:9],99.14967
[C:1]([C:2]([C:3]([O:4][C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([O+:4]=[C-:5][O:6][H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],75.70501
[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[N:4]([H:14])[C@:5]1([C:6]#[N:7])[H:15])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[N:4]([H:14])[C:5]1=[C:6]=[N:7][H:15])([H:8])([H:9])[H:10],92.30218
[C:1]([C:2]([O:3][C:4]([C:5]([H:13])([H:14])[H:15])([C:6]([H:16])([H:17])[H:18])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([O:3][C:4]([C:5]([H:12])([H:13])[H:15])=[C:6]([H:16])[H:18])([H:10])[H:11])([H:7])([H:8])[H:9].[H:14][H:17],112.43021
[C:1]([C:2]([C:3](=[O:4])[H:11])([C:5](=[O:6])[H:12])[H:10])([H:7])([H:8])[H:9]>>[C:1](/[C:2](=[C:5](/[O:6][C:3](=[O:4])[H:11])[H:12])[H:10])([H:7])([H:8])[H:9],49.12028
[C:1]([O:2][C@@:3]1([H:10])[C:4]([H:11])([H:12])[C@:5]1([O:6][H:14])[H:13])([H:7])([H:8])[H:9]>>[C:1]([O+:2]=[C-:3][C:4]([C:5]([O:6][H:14])([H:10])[H:13])([H:11])[H:12])([H:7])([H:8])[H:9],51.72998
[C:1]1([H:7])([H:8])[O:2][C@:3]1([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:9]>>[C:1](=[O:2])([H:7])[H:8].[C:3]([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:9],72.28402
[C:1]([c:2]1[c:3]([H:10])[n:4]([H:11])[n:5][n:6]1)([H:7])([H:8])[H:9]>>[C:1](=[C:2]1[C+:3]([H:10])[N:4]([H:11])[N-:5][N:6]1[H:7])([H:8])[H:9],80.85145
[N:1](=[C:2](/[O:3][C:4](=[O:5])[H:8])[H:7])\[H:6]>>[N:1]([C-:2]=[O+:3][C:4](=[O:5])[H:8])([H:6])[H:7],73.11518000000001
[N:1](=[C:2](/[O:3][C:4]([C:5](=[O:6])[H:11])([H:9])[H:10])[H:8])\[H:7]>>[N:1](=[C:2])[H:7].[O:3]([C:4]([C:5](=[O:6])[H:11])([H:9])[H:10])[H:8],71.35168
[C:1](#[C:2][C:3]([C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9])[H:7]>>[C+:1](=[C:2]=[C-:3][H:9])[H:7].[C:4]1([H:8])([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14],91.12002
[O:1]([C:2]([C:3]#[C:4][C@@:5]1([H:11])[C:6]([H:12])([H:13])[N:7]1[H:14])([H:9])[H:10])[H:8]>>[C:2](=[C:3]=[C-:4][C@@:5]1([H:11])[C+:6]([H:12])[N:7]1[H:14])([H:9])[H:10].[O:1]([H:8])[H:13],102.12822
[C:1]1([H:8])([H:9])[C@@:2]2([H:10])[N:3]1[C:4]([H:11])([H:12])[C:5]21[C:6]([H:13])([H:14])[C:7]1([H:15])[H:16]>>[C:1](=[N:3][C@@:2]1([H:10])[C:4]([H:11])([H:12])[C:5]12[C:6]([H:13])([H:14])[C:7]2([H:15])[H:16])([H:8])[H:9],69.62269
[C:1]([C:2]([N:3]1[C:4]([H:12])([H:13])[C@:5]1([C:6]([H:15])([H:16])[H:17])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C-:2]([N+:3]1=[C:5]([C:6]([H:15])([H:16])[H:17])[C:4]1([H:12])[H:13])[H:11])([H:7])([H:8])[H:9].[H:10][H:14],80.61820999999999
[C:1]([C@@:2]([C:3]([C:4]([O:5][H:16])([H:14])[H:15])([H:12])[H:13])([C:6]#[N:7])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:6]#[N:7])[H:11])([H:8])([H:9])[H:10].[C:4]([O:5][H:16])[H:15],82.57817
[N:1]#[C:2][C@@:3]1([H:8])[O:4][C@@:5]2([H:9])[C:6]([H:10])([H:11])[C@@:7]12[H:12]>>[N:1](=[C:2]=[C:3]([O:4][C:5]1([H:9])[C:6]([H:10])=[C:7]1[H:12])[H:8])[H:11],77.76758000000001
[C:1]([C:2]([C:3]([H:10])([H:11])[H:12])([O:4][H:13])[C:5]#[N:6])([H:7])([H:8])[H:9]>>[C:1]([C+:2]=[C:5]=[N-:6])([H:7])([H:8])[H:9].[C:3]([O:4][H:13])([H:10])([H:11])[H:12],114.55335
[C:1]([C@@:2]1([C:5]#[N:6])[C:3]([H:10])([H:11])[O:4]1)([H:7])([H:8])[H:9]>>[C:1]([C@@:2]1([C-:5]=[N:6][H:11])[C:3]([H:10])=[O+:4]1)([H:7])([H:8])[H:9],133.84884
[C:1]([C@@:2]([O:3][C:4](=[O:5])[H:12])([C:6]#[C:7][H:13])[H:11])([H:8])([H:9])[H:10]>>[C:1]1([H:8])([H:10])[C@:2]([O:3][C:4](=[O:5])[H:12])([H:11])[C:6]1=[C:7]([H:9])[H:13],101.36354
[N:1]([c:2]1[c:3]([H:10])[c:4]([O:5][H:11])[c:6]([H:12])[o:7]1)([H:8])[H:9]>>[N:1]([C-:2]=[O+:7][C@@:6]1([H:12])[C:3]([H:10])=[C:4]1[O:5][H:11])([H:8])[H:9],114.96392
[c:1]1([H:7])[c:2]([H:8])[c:3]([H:9])[n:4][c:5]([H:10])[c:6]1[H:11]>>[C:1]12([H:7])[C:2]([H:8])=[C:3]([H:9])[N:4]1[C:5]([H:10])=[C:6]2[H:11],109.41459
[C:1]([C:2]1([C:5](=[O:6])[H:14])[C:3]([H:10])([H:11])[C:4]1([H:12])[H:13])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([C:5](=[O:6])[H:14])([H:10])[H:11])=[C:4]([H:12])[H:13])([H:7])([H:8])[H:9],75.91401
[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4](=[O:5])[C:6]([H:14])([H:15])[H:16])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C+:2]=[C:4]([O-:5])[C:6]([H:14])([H:15])[H:16])([H:7])([H:8])[H:9].[C:3]([H:10])([H:11])([H:12])[H:13],87.47906
[N:1](=[c:2]1/[c:3]([H:9])[n:4][c:5]([H:10])[c:6]([H:11])[o:7]1)\[H:8]>>[N:1](=[C:2]1/[C:3]([H:9])=[N+:4]=[C-:5][C:6]([H:10])([H:11])[O:7]1)\[H:8],78.58985
[O:1]([C:2]([C@@:3]1([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:9])[H:10])[H:8]>>[C:2](=[C:3]1[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:9])[H:10].[O:1]([H:8])[H:11],68.23165999999999
[N:1]([c:2]1[c:3]([H:10])[c:4]([N:5]([H:11])[H:12])[c:6]([H:13])[n:7]1[H:14])([H:8])[H:9]>>[N:1](=[C:2]1[C:3]([H:10])=[C:4]([N:5]([H:11])[H:12])[C-:6]([H:13])[N+:7]1([H:8])[H:14])[H:9],67.67858000000001
[C:1]([C@@:2]1([H:11])[O:3]/[C:4](=[N:5]\[H:12])[C@:6]1([N:7]([H:14])[H:15])[H:13])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]([O:3][C:4]#[N:5])(/[C:6](=[N:7]/[H:14])[H:13])[H:11])([H:8])([H:9])[H:10].[H:12][H:15],87.57873000000001
[C:1]1([H:6])([H:7])[C:2]([H:8])([H:9])[N:3]=[C:4]([H:10])[O:5]1>>[C-:1]1([H:7])[C:2]([H:8])([H:9])[N:3]([H:6])[C:4]([H:10])=[O+:5]1,78.99382
[C:1]1([H:6])([H:7])[C:2]([H:8])([H:9])[N:3]=[C:4]([H:10])[O:5]1>>[C:1]1([H:6])([H:7])[C-:2]=[N+:3]=[C:4]([H:10])[O:5]1.[H:8][H:9],90.85953
[O:1]([C:2]([c:3]1[n:4][n:5]([H:11])[c:6]([H:12])[n:7]1)([H:9])[H:10])[H:8]>>[O:1]([C:2]([C:3]1=[N:4][N:7]1/[C:6](=[N:5]/[H:11])[H:12])([H:9])[H:10])[H:8],83.56763000000001
[C:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[O:4]1)([H:5])([H:6])[H:7]>>[C:1](=[C:2]([H:6])[H:8])([H:5])[H:7].[C:3](=[O:4])([H:9])[H:10],76.89371
[C:1]([c:2]1[n:3][c:4]([H:11])[c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10]>>[C:1]([c+:2]1[n:3]([H:11])[c-:4][c:5]([O:6][H:12])[n:7]1[H:13])([H:8])([H:9])[H:10],79.67142
[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[n:5][c:6]1[H:11])([H:7])[H:8]>>[N:1]([C@@:2](/[C:3](=[N:4]/[H:10])[H:9])([C:6]#[N:5])[H:11])([H:7])[H:8],66.92819
[N:1](=[C:2](/[O:3][C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])\[H:7]>>[C:6]([H:12])[H:13].[N:1](=[C:2](/[O:3][C:4](=[C:5]([H:10])[H:11])[H:9])[H:8])\[H:7],95.80093
[C:1]([C@@:2]1([H:10])[N:3]([H:11])[C:4]([H:12])([H:13])[C:5]1=[O:6])([H:7])([H:8])[H:9]>>[C:1]([C:5]([C:4]([N:3]([C:2][H:10])[H:11])([H:12])[H:13])=[O:6])([H:7])([H:8])[H:9],58.76171
[C:1](#[C:2][C@@:3]1([H:7])[C:4]([H:8])([H:9])[N:5]1[H:10])[H:6]>>[C:1](#[C:2][C@@:3]1([H:7])[C-:4]([H:8])[N+:5]1([H:9])[H:10])[H:6],63.845130000000005
[O:1]=[c:2]1[n:3]([H:7])[c:4]([H:8])[c:5]([H:9])[o:6]1>>[O:1]([c:2]1[n:3][c:4]([H:8])[c:5]([H:9])[o:6]1)[H:7],53.27381
[O:1]=[C:2]([C:3]([C:4]([C:5]#[N:6])([H:10])[H:11])([H:8])[H:9])[H:7]>>[O:1]1[C@:2]2([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]1=[N:6]2,101.87022
[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9]>>[C:1]([C:2]([N:3]=[O:4])=[N+:6]=[N-:5])([H:7])([H:8])[H:9],48.61085
[N:1]#[C:2][c:3]1[c:4]([H:8])[o:5][c:6]([H:9])[c:7]1[H:10]>>[N:1]#[C:2][C:3]1([C:4](=[O:5])[H:8])[C:6]([H:9])=[C:7]1[H:10],84.69618
[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]([H:12])([H:13])[H:14])[H:8])([H:5])([H:6])[H:7]>>[C:1]([H:5])([H:6])([H:7])[H:14].[C:2]([C:3]([H:9])([H:10])[H:11])(=[C:4]([H:12])[H:13])[H:8],111.09882
[C:1]([n:2]1[c:3]([H:11])[c:4]([H:12])[c:5]([C:6]([H:13])([H:14])[H:15])[n:7]1)([H:8])([H:9])[H:10]>>[C-:1]([n+:2]1[c:3]([H:11])[c:4]([H:12])[c:5]([C:6]([H:13])([H:14])[H:15])[n:7]1[H:10])([H:8])[H:9],67.68734
[C:1]([C:2]([C:3](=[O:4])[O:5][C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([O:4][C-:3]=[O+:5][C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],105.1375
[C:1]([C:2]([C@@:3]1([H:13])[C:4]([H:14])([H:15])[C@:5]1([C:6]([O:7][H:19])([H:17])[H:18])[H:16])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1](=[C:2]([H:11])[H:12])([H:9])[H:10].[C:3]1([H:13])=[C:4]([H:14])[C:5]1([C:6]([O:7][H:19])([H:17])[H:18])[H:16].[H:8][H:15],108.50715
[C:1]1([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]1([C:4]1([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:11]>>[C:1]1([H:8])=[C:3]([H:11])[C:2]1([H:9])[H:10].[C:4](=[C:5]([H:13])[H:14])([C:6]([H:7])([H:15])[H:16])[H:12],85.4866
[C:1]([C:2]([C@@:3]([C:4]([H:13])([H:14])[H:15])([O:5][H:16])[C:6]#[C:7][H:17])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]([C:3](=[C:4]([H:13])[H:14])[O:5][H:16])([C:6]#[C:7][H:17])[H:12])([H:8])([H:9])[H:10].[H:11][H:15],119.28422
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C@@:4]2([H:9])[C:5]([H:10])([H:11])[C@@:6]12[H:12]>>[O:1]=[C:2]1[C:3]([H:7])([H:8])[C@:4]1([C:6](=[C:5]([H:10])[H:11])[H:12])[H:9],82.87432
[O:1]=[C:2]([c:3]1[c:4]([H:9])[n:5][c:6]([H:10])[n:7]1[H:11])[H:8]>>[O:1]=[C:2]([C:3]1=[N:7][C:6]([H:10])([H:11])[N:5]=[C:4]1[H:9])[H:8],53.65771
[C:1]([C@@:2]([C:3](=[O:4])[H:12])([C:5](=[O:6])[N:7]([H:13])[H:14])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]([O+:4]=[C-:3][H:12])([C:5](=[O:6])[N:7]([H:13])[H:14])[H:11])([H:8])([H:9])[H:10],111.40037
[C:1]([C@@:2]([C:3]([C:4]#[N:5])([H:12])[H:13])([C:6]#[C:7][H:14])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C:6]1=[C:2]([H:11])[C:4](=[C:3]([H:12])[H:13])[N:5]=[C:7]1[H:14])([H:8])([H:9])[H:10],109.0748
[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]([H:11])[C:6]([H:12])([H:13])[N:7]1[H:14]>>[O:1]=[C:2]=[N:7][C:6](/[C:5](=[C:4](\[C:3]([H:8])([H:9])[H:14])[H:10])[H:11])([H:12])[H:13],98.88762
[C:1]([C:2]([C@@:3]([O:4][H:14])([C@@:5]([C:6]([H:16])([H:17])[H:18])([O:7][H:19])[H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C:3](=[O:4])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10].[C:5]([C:6]([H:16])([H:17])[H:18])([O:7][H:19])([H:14])[H:15],87.92789
[O:1]([C:2]([C@@:3]1([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:9])[H:10])[H:8]>>[C:4](=[C:5]([H:14])[H:15])([H:12])[H:13].[O:1]([C:2]([C:3]([C:7](=[O:6])[H:16])([H:11])[H:17])([H:9])[H:10])[H:8],85.85361999999999
[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C:4](=[O:5])[C@:6]1([C:7]([H:14])([H:15])[H:16])[H:13])([H:8])([H:9])[H:10]>>[C:1](=[C:2]([N:3]([C+:4]([O-:5])[C:6](=[C:7]([H:14])[H:15])[H:13])[H:12])[H:11])([H:9])[H:10].[H:8][H:16],77.39
[O:1]([C@@:2]1([H:9])[C@:3]2([H:10])[O:4][C@@:5]1([H:11])[C@:6]2([O:7][H:13])[H:12])[H:8]>>[O:1]([C@@:2]1([H:9])[O:4][C@@:5]1([C@:6]([C:3][H:10])([O:7][H:13])[H:12])[H:11])[H:8],72.1415
[N:1](=[C:2]1/[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]([H:15])([H:16])[O:7]1)\[H:8]>>[N:1]#[C:2][C:3]([C:4]([C:5]([C:6]([O:7][H:8])([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10],53.45966
[o:1]1[c:2]([H:6])[c:3]([H:7])[c:4]([H:8])[c:5]1[H:9]>>[O:1]1[C@@:2]2([H:6])[C:3]([H:7])=[C:4]([H:8])[C@@:5]12[H:9],107.51582
[C:1]([C@@:2]1([H:11])[O:3][C:4]([H:12])([H:13])[C@@:5]2([H:14])[C:6]([H:15])([H:16])[C@@:7]12[H:17])([H:8])([H:9])[H:10]>>[C:1]([C:2]([O:3]/[C:4](=[C:5](\[C:7](=[C:6]([H:15])[H:16])[H:17])[H:14])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],130.31572
[O:1]=[C:2]([C:3](=[O:4])[N:5]1[C:6]([H:9])([H:10])[C:7]1([H:11])[H:12])[H:8]>>[O:1]1[C:2]([H:8])=[C:3]([O-:4])[N+:5](=[C:6]([H:9])[H:10])[C:7]1([H:11])[H:12],43.2499
[C:1]([C:2]([C:3]([C:4]([C:5]([O:6][C:7]([H:19])([H:20])[H:21])([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1](=[C:2]([C:3]([C:4]([C:5]([O:6][C:7]([H:19])([H:20])[H:21])([H:17])[H:18])([H:15])[H:16])([H:12])[H:13])[H:11])([H:8])[H:10].[H:9][H:14],107.57326
[C:1]([C:2]([C:3]([C:4]([C:5]([H:16])([H:17])[H:18])([H:14])[H:15])([C:6]#[N:7])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C@:2]1([H:11])[C@:3]([C:4]([C:5]([H:16])([H:17])[H:18])([H:14])[H:15])([H:13])/[C:6]1=[N:7]/[H:12])([H:8])([H:9])[H:10],110.27586
[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[C@:5]1([O:6][H:16])[H:15])([H:7])([H:8])[H:9]>>[C:1]([C:2][C@@:5]([C:4]([C:3]([H:10])([H:11])[H:12])([H:13])[H:14])([O:6][H:16])[H:15])([H:7])([H:8])[H:9],75.95752
[N:1]([c:2]1[n:3][c:4]([H:10])[c:5]([H:11])[c:6]([H:12])[n:7]1)([H:8])[H:9]>>[N:1]([C:2]#[N+:3][C-:4]([C@@:5]1([H:11])[C:6]([H:12])=[N:7]1)[H:10])([H:8])[H:9],113.98674
[C:1]([c:2]1[n:3][n:4]([H:11])[c:5](=[O:6])[n:7]1[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2](/[N:3]=[N:4]/[H:11])=[N:7]/[C:5](=[O:6])[H:12])([H:8])([H:9])[H:10],80.60013000000001
[N:1]([C:2]([C@@:3]([O:4][H:12])([C:5]#[N:6])[H:11])([H:9])[H:10])([H:7])[H:8]>>[N:1]1([H:8])[C:2]([H:9])([H:10])[C@@:3]1([C:5]#[N:6])[H:11].[O:4]([H:7])[H:12],80.19669
[C:1]([O:2][c:3]1[n:4][o:5][c:6]([H:11])[c:7]1[H:12])([H:8])([H:9])[H:10]>>[C:1]([O:2][C:3]1=[N:4][O+:5]=[C-:6][C:7]1([H:11])[H:12])([H:8])([H:9])[H:10],68.51402
[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[C:5]([H:15])=[C:6]1[H:16])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:6]=[C:5]([C:4]([C:3]([H:11])([H:12])[H:16])([H:13])[H:14])[H:15])[H:10])([H:7])([H:8])[H:9],127.06277
[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C@:6]12[H:16]>>[C:1]1([H:7])([H:8])[C:2][C@:6]1([C:5]([C:4]([C:3]([H:9])([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16],88.28034
[N:1](=[C:2](/[N:3]([C:4](=[O:5])[H:9])[H:8])[H:7])\[H:6]>>[N:1](=[C:2])[H:6].[N:3]([C:4](=[O:5])[H:9])([H:7])[H:8],81.3011
[O:1]([C:2]1([H:9])[C:3]([H:10])([H:11])[N:4]([C:6](=[O:7])[H:14])[C:5]1([H:12])[H:13])[H:8]>>[O:1]=[C:2]([C:3]([N:4]([C:5]([H:8])([H:12])[H:13])[C:6](=[O:7])[H:14])([H:10])[H:11])[H:9],75.88233000000001
[N:1]#[C:2][C@@:3]1([H:7])[C:4]([H:8])([H:9])[C:5]([H:10])([H:11])[O:6]1>>[N:1](=[C:2]1/[C@@:3]2([H:7])[C@:4]1([H:8])[C:5]([H:10])([H:11])[O:6]2)\[H:9],108.92153
[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6]([O:7][H:19])([H:17])[H:18])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]1([H:11])[C@:3]([O:4][H:14])([H:13])[C:5]([H:15])([H:16])[C:6]([H:17])([H:18])[O:7]1)([H:8])([H:9])[H:10].[H:12][H:19],108.53234
[N:1]([C:2](=[O:3])[N:4]1[C:5]([H:9])([H:10])[C:6]1([H:11])[H:12])([H:7])[H:8]>>[N:1](/[C:2]([O:3][H:12])=[N:4]/[C:6](=[C:5]([H:9])[H:10])[H:11])([H:7])[H:8],55.08728000000001
[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C:2]1=[N:3][C@@:4]1(/[N:5]=[N:6]/[H:9])[H:8])[H:7],109.01599
[C:1]([C:2](=[O:3])[C@@:4]1([H:10])[C:5]([H:11])([H:12])[N:6]1[H:13])([H:7])([H:8])[H:9]>>[C-:2]#[O+:3].[C:1]([C:5](/[C:4](=[N:6]\[H:13])[H:10])([H:11])[H:12])([H:7])([H:8])[H:9],97.61753
